ticker;bid;ask;base_qrncy;quote_crncy;base_bid;base_ask;quote_bid;quote_ask;Offer1;Offer2;Offer3
LMCADS03 Comdty;2;52;;USD;55;66;8;55;5;7;9
LMAHDS03 Comdty;34;53;;USD;56;67;9;56;6;8;10
LMZSDS03 Comdty;66;54;;USD;57;68;10;57;7;9;11
LMNIDS03 Comdty;98;55;;USD;58;69;11;58;8;10;12
USDTRY Curncy;130;56;USD;TRY;59;70;12;59;9;11;13
EURTRY Curncy;162;57;EUR;TRY;60;71;13;60;10;12;14
NZDJPY Curncy;194;58;NZD;JPY;61;72;14;61;11;13;15
CHFHUF Curncy;226;59;CHF;HUF;62;73;15;62;12;14;16
USDCLP Curncy;258;60;USD;CLP;63;74;16;63;13;15;17
XAUUSD Curncy;290;61;XAU;USD;64;75;17;64;14;16;18
XAGUSD Curncy;322;62;XAG;USD;65;76;18;65;15;17;19
USDBRL Curncy;354;63;USD;BRL;66;77;19;66;16;18;20
USDILS Curncy;386;64;USD;ILS;67;78;20;67;17;19;21
GBPCAD Curncy;418;65;GBP;CAD;68;79;21;68;18;20;22
NZDCAD Curncy;450;66;NZD;CAD;69;80;22;69;19;21;23
USDSEK Curncy;482;67;USD;SEK;70;81;23;70;20;22;24
AUDJPY Curncy;514;68;AUD;JPY;71;82;24;71;21;23;25
EURCAD Curncy;546;69;EUR;CAD;72;83;25;72;22;24;26
USDCZK Curncy;578;70;USD;CZK;73;84;26;73;23;25;27
EURCZK Curncy;610;71;EUR;CZK;74;85;27;74;24;26;28
AUDNZD Curncy;642;72;AUD;NZD;75;86;28;75;25;27;29
GBPPLN Curncy;674;73;GBP;PLN;76;87;29;76;26;28;30
CADCHF Curncy;706;74;CAD;CHF;77;88;30;77;27;29;31
EURNZD Curncy;738;75;EUR;NZD;78;89;31;78;28;30;32
AUDCAD Curncy;770;76;AUD;CAD;79;90;32;79;29;31;33
EURHUF Curncy;802;77;EUR;HUF;80;91;33;80;30;32;34
USDHUF Curncy;834;78;USD;HUF;81;92;34;81;31;33;35
USDRON Curncy;866;79;USD;RON;82;93;35;82;32;34;36
EURRON Curncy;898;80;EUR;RON;83;94;36;83;33;35;37
CHFPLN Curncy;930;81;CHF;PLN;84;95;37;84;34;36;38
EURSEK Curncy;962;82;EUR;SEK;85;96;38;85;35;37;39
USDNOK Curncy;994;83;USD;NOK;86;97;39;86;36;38;40
EURNOK Curncy;1026;84;EUR;NOK;87;98;40;87;37;39;41
GBPAUD Curncy;1058;85;GBP;AUD;88;99;41;88;38;40;42
GBPNZD Curncy;1090;86;GBP;NZD;89;100;42;89;39;41;43
USDZAR Curncy;1122;87;USD;ZAR;90;101;43;90;40;42;44
USDMXN Curncy;1154;88;USD;MXN;91;102;44;91;41;43;45
AUDCHF Curncy;1186;89;AUD;CHF;92;103;45;92;42;44;46
CADJPY Curncy;1218;90;CAD;JPY;93;104;46;93;43;45;47
EURJPY Curncy;1250;91;EUR;JPY;94;105;47;94;44;46;48
EURCHF Curncy;1282;92;EUR;CHF;95;106;48;95;45;47;49
EURGBP Curncy;1314;93;EUR;GBP;96;107;49;96;46;48;50
AUDUSD Curncy;1346;94;AUD;USD;97;108;50;97;47;49;51
USDCAD Curncy;1378;95;USD;CAD;98;109;51;98;48;50;52
GBPJPY Curncy;1410;96;GBP;JPY;99;110;52;99;49;51;53
CHFJPY Curncy;1442;97;CHF;JPY;100;111;53;100;50;52;54
NZDUSD Curncy;1474;98;NZD;USD;101;112;54;101;51;53;55
EURAUD Curncy;1506;99;EUR;AUD;102;113;55;102;52;54;56
GBPCHF Curncy;1538;100;GBP;CHF;103;114;56;103;53;55;57
